scenario,phase,attachment_kb,repeat,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,model,provider,attachment_marker_recall,first_fact_recall,memory_drift_recall,latency_budget_pass,cost_budget_pass,error
growing,multiturn,0,0,1,16259283-989e-4b37-8829-c224489c4614,144,0,2,0,154,944,412,0.003004,6679.38054500064,none,,claude-haiku-4-5,anthropic,,,,0,1,
growing,multiturn,0,0,2,16259283-989e-4b37-8829-c224489c4614,48,0,4,0,215,1453,520,0.004052999999999999,5533.397218000573,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
growing,multiturn,0,0,3,16259283-989e-4b37-8829-c224489c4614,65,0,6,0,274,2107,687,0.005542,6917.259718999958,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
growing,multiturn,0,0,4,16259283-989e-4b37-8829-c224489c4614,59,0,8,0,324,2811,740,0.006511,6693.645827999717,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
growing,multiturn,0,0,5,16259283-989e-4b37-8829-c224489c4614,36,0,10,0,357,3549,805,0.007574,7406.546659999549,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
growing,multiturn,0,0,6,16259283-989e-4b37-8829-c224489c4614,47,0,12,0,411,4437,967,0.009271999999999999,8662.145811999835,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
growing,multiturn,0,0,7,16259283-989e-4b37-8829-c224489c4614,67,0,12,0,475,5428,1067,0.010763,9215.955549000682,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
growing,multiturn,0,0,8,16259283-989e-4b37-8829-c224489c4614,47,0,12,0,579,6171,1266,0.012500999999999998,12157.962046000648,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
growing,multiturn,0,0,9,16259283-989e-4b37-8829-c224489c4614,47,0,12,0,657,7119,1548,0.014859,14168.886906999433,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
growing,multiturn,0,0,10,16259283-989e-4b37-8829-c224489c4614,57,0,12,0,739,8086,1746,0.016815999999999998,16976.508147999994,none,,claude-haiku-4-5,anthropic,,1,1.0,0,0,
growing,multiturn,0,1,1,f472124d-1255-49ce-9eaa-af8a0968aa7f,144,0,2,0,212,1031,511,0.003586,6336.601314000291,none,,claude-haiku-4-5,anthropic,,,,0,1,
growing,multiturn,0,1,2,f472124d-1255-49ce-9eaa-af8a0968aa7f,48,0,4,0,238,1613,571,0.004468,6172.529330000543,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
growing,multiturn,0,1,3,f472124d-1255-49ce-9eaa-af8a0968aa7f,65,0,6,0,268,2292,712,0.005852,6859.342099999594,none,,claude-haiku-4-5,anthropic,,1,1.0,0,1,
